train_number,collection_timestamp,current_station_code,next_station_code,current_delay,predicted_delay_change,probability_delay_worsening,risk_score,movement_state,distance_from_origin_km,route_sequence
96207,2026-08-22T09:07:35.153462+00:00,MTN,SION,1,0.2631,0.5074,0.356,MOVING,10.4,11.0
96207,2026-08-22T09:08:35.143951+00:00,MTN,SION,2,0.0317,0.4327,0.3234,MOVING,10.4,11.0
96207,2026-08-22T09:09:35.288425+00:00,MTN,SION,2,0.0215,0.4419,0.3264,MOVING,10.4,11.0
96207,2026-08-22T09:10:35.232832+00:00,MTN,SION,2,0.0725,0.4627,0.3379,MOVING,10.4,11.0
96207,2026-08-22T09:11:35.168950+00:00,MTN,SION,3,0.0534,0.4386,0.3388,STATIONARY,10.4,11.0
96207,2026-08-22T09:12:35.198357+00:00,SION,CLA,2,0.1003,0.4512,0.3351,MOVING,12.9,12.0
96207,2026-08-22T09:13:35.201908+00:00,SION,CLA,2,0.0891,0.4641,0.3396,STATIONARY,12.9,12.0
96207,2026-08-22T09:14:35.209624+00:00,SION,CLA,2,0.0891,0.4641,0.3396,STATIONARY,12.9,12.0
96207,2026-08-22T09:15:35.212040+00:00,CLA,VVH,0,0.3659,0.5168,0.3543,MOVING,15.6,13.0
96207,2026-08-22T09:16:35.209663+00:00,CLA,VVH,1,0.0804,0.4601,0.3257,STATIONARY,15.6,13.0
96207,2026-08-22T09:17:35.184976+00:00,CLA,VVH,1,0.0995,0.4845,0.3367,STATIONARY,15.6,13.0
96207,2026-08-22T09:18:35.227183+00:00,CLA,VVH,1,0.079,0.4821,0.3344,STATIONARY,15.6,13.0
96207,2026-08-22T09:19:35.150342+00:00,VVH,GC,2,0.066,0.4309,0.3248,MOVING,18.1,15.0
96207,2026-08-22T09:20:35.234030+00:00,VVH,GC,2,0.0559,0.4574,0.3348,STATIONARY,18.1,15.0
96207,2026-08-22T09:21:35.332844+00:00,GC,VK,1,0.0905,0.4665,0.3289,MOVING,19.4,16.0
96207,2026-08-22T09:22:35.214401+00:00,GC,VK,1,0.0974,0.4878,0.3379,STATIONARY,19.4,16.0
96207,2026-08-22T09:23:35.207873+00:00,GC,VK,1,0.0974,0.4803,0.3349,STATIONARY,19.4,16.0
96207,2026-08-22T09:24:35.585940+00:00,GC,VK,2,0.0242,0.364,0.2955,MOVING,19.4,16.0
96207,2026-08-22T09:25:35.292593+00:00,VK,KJRD,2,0.0784,0.4206,0.3215,MOVING,23.1,17.0
96207,2026-08-22T09:26:35.387715+00:00,VK,KJRD,2,0.0492,0.4546,0.3333,STATIONARY,23.1,17.0
96207,2026-08-22T09:27:35.428881+00:00,VK,KJRD,2,0.0578,0.4633,0.3373,STATIONARY,23.1,17.0
96207,2026-08-22T09:28:35.202334+00:00,KJRD,BND,1,0.1256,0.4597,0.3284,MOVING,25.0,18.0
96207,2026-08-22T09:29:35.299813+00:00,KJRD,BND,1,0.074,0.4574,0.3242,STATIONARY,25.0,18.0
96207,2026-08-22T09:30:35.212105+00:00,BND,NHU,1,0.1032,0.4544,0.3249,MOVING,26.8,19.0
96207,2026-08-22T09:31:35.317354+00:00,BND,NHU,1,0.074,0.4633,0.3266,STATIONARY,26.8,19.0
96207,2026-08-22T09:32:35.214000+00:00,BND,NHU,1,0.1032,0.474,0.3327,STATIONARY,26.8,19.0
96207,2026-08-22T09:33:35.200464+00:00,BND,NHU,1,0.1032,0.4702,0.3312,STATIONARY,26.8,19.0
96207,2026-08-22T09:34:35.231875+00:00,NHU,MLND,1,0.092,0.423,0.3116,MOVING,28.5,20.0
96207,2026-08-22T09:35:35.243152+00:00,CRNM,MLND,1,0.1032,0.4669,0.3299,MOVING,29.6,21.0
96207,2026-08-22T09:36:35.198592+00:00,MLND,TNA,2,0.0472,0.4196,0.3191,MOVING,30.7,22.0
96207,2026-08-22T09:37:35.200098+00:00,MLND,TNA,1,0.1444,0.4657,0.3319,STATIONARY,30.7,22.0
96207,2026-08-22T09:38:35.403854+00:00,MLND,TNA,1,0.0619,0.4497,0.3204,STATIONARY,30.7,22.0
96207,2026-08-22T09:39:35.261691+00:00,MLND,TNA,1,0.0911,0.3861,0.2968,MOVING,30.7,22.0
96207,2026-08-22T09:40:35.202895+00:00,MLND,TNA,1,0.0911,0.3802,0.2944,STATIONARY,30.7,22.0
96207,2026-08-22T09:41:35.216885+00:00,TNA,KLVA,1,0.1032,0.4618,0.3278,MOVING,33.3,23.0
96207,2026-08-22T09:42:35.199852+00:00,TNA,KLVA,1,0.1032,0.4735,0.3325,STATIONARY,33.3,23.0
96207,2026-08-22T09:43:35.245061+00:00,TNA,KLVA,1,0.0826,0.4648,0.3277,STATIONARY,33.3,23.0
96207,2026-08-22T09:44:35.194340+00:00,TNA,KLVA,1,0.1032,0.4543,0.3248,STATIONARY,33.3,23.0
96207,2026-08-22T09:45:35.181039+00:00,KLVC,MBQ,1,0.1032,0.4528,0.3242,MOVING,36.1,25.0
96207,2026-08-22T09:46:35.180994+00:00,KLVC,MBQ,1,0.1032,0.4887,0.3386,STATIONARY,36.1,25.0
96207,2026-08-22T09:47:35.233339+00:00,KLVC,MBQ,1,0.0826,0.4785,0.3332,STATIONARY,36.1,25.0
96207,2026-08-22T09:48:35.301877+00:00,KLVC,MBQ,1,0.0826,0.4785,0.3332,STATIONARY,36.1,25.0
96207,2026-08-22T09:49:35.172090+00:00,MBQ,DIVA,0,0.2965,0.4698,0.3313,MOVING,40.2,26.0
96207,2026-08-22T09:50:35.221325+00:00,MBQ,DIVA,0,0.2536,0.4944,0.3385,STATIONARY,40.2,26.0
96207,2026-08-22T09:51:35.183307+00:00,DIVA,KOPR,0,0.1894,0.4719,0.3255,MOVING,42.7,27.0
96207,2026-08-22T09:52:35.214793+00:00,DIVA,KOPR,0,0.1782,0.4852,0.3302,STATIONARY,42.7,27.0
96207,2026-08-22T09:53:35.251944+00:00,DIVA,KOPR,0,0.1689,0.4852,0.3296,STATIONARY,42.7,27.0
96207,2026-08-22T09:54:35.180926+00:00,DWJN,KOPR,-1,0.6569,0.4764,0.3552,MOVING,44.5,28.0
96207,2026-08-22T09:55:35.188885+00:00,DWJN,KOPR,-1,0.5992,0.4878,0.3565,STATIONARY,44.5,28.0
96207,2026-08-22T09:56:35.272023+00:00,DIVA,KOPR,0,-0.0672,0.4502,0.3009,MOVING,42.7,27.0
96207,2026-08-22T09:57:35.202091+00:00,DIVA,KOPR,2,0.0593,0.4509,0.3324,STATIONARY,42.7,27.0
96207,2026-08-22T09:58:35.284236+00:00,KOPR,DI,0,0.3404,0.4524,0.327,MOVING,47.2,29.0
